id,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2_5,air_quality_PM10,air_quality_us_epa_index,air_quality_gb_defra_index
1,647.5,130.2,1.2,0.4,7.9,11.1,1,1
2,433.9,104.4,3.6,1.8,28.2,29.6,2,3
3,647.5,16.6,63.1,12.6,6.4,7.9,1,1
4,190.3,68.0,0.2,0.2,0.5,0.8,1,1
5,2136.2,147.3,52.8,26.9,139.6,203.3,4,10
6,200.3,16.6,0.5,0.5,0.8,1.9,1,1
7,270.4,18.8,10.7,1.3,2.1,3.5,1,1
8,212.0,121.6,1.0,1.1,5.0,6.2,1,1
9,203.6,44.0,3.5,0.5,4.0,5.8,1,1
10,320.4,30.0,29.1,13.0,13.1,14.9,1,2
11,230.3,101.6,2.4,0.9,5.6,6.8,1,1
12,220.3,29.3,1.0,1.2,1.4,2.1,1,1
13,360.5,254.6,5.7,9.7,69.3,152.9,4,9
14,827.8,45.8,59.0,11.1,84.8,95.6,4,10
15,201.9,17.7,0.8,0.7,1.6,3.5,1,1
16,210.3,94.4,2.4,5.1,2.1,2.3,1,1
17,247.0,40.8,28.8,9.3,16.6,19.6,2,2
18,161.9,6.6,0.4,0.1,2.8,2.9,1,1
19,560.8,20.6,4.1,1.5,13.4,23.1,1,2
20,400.5,47.2,0.1,0.2,7.3,7.6,1,1
21,155.2,41.5,1.0,0.5,3.2,12.3,1,1
22,237.0,85.8,0.9,7.0,8.4,8.8,1,1
23,460.6,85.8,1.4,1.6,17.4,19.9,2,2
24,317.1,19.5,0.5,0.2,2.4,3.8,1,1
25,283.7,28.6,1.2,0.6,2.1,2.8,1,1
26,240.3,101.6,1.3,1.2,9.2,11.3,1,1
27,814.4,18.2,4.6,2.2,18.4,35.4,2,2
28,337.1,64.4,0.9,0.7,7.2,16.1,1,1
29,201.9,63.7,0.1,0.2,1.2,3.4,1,1
30,188.6,52.2,0.6,0.3,29.0,158.9,2,3
31,310.4,24.0,2.8,1.7,2.0,5.3,1,1
32,721.0,9.1,2.8,0.8,20.5,30.0,2,2
33,205.3,17.7,2.5,0.4,3.7,4.1,1,1
34,260.4,1.0,0.1,0.0,0.5,0.8,1,1
35,534.1,20.2,0.9,0.8,9.5,13.3,1,1
36,5500.8,0.0,57.6,16.2,496.2,596.9,6,10
37,420.6,140.2,56.9,76.3,26.2,34.3,2,3
38,201.9,97.3,0.5,0.5,4.4,5.3,1,1
39,227.0,67.2,0.2,0.5,6.9,11.1,1,1
40,540.7,38.6,2.0,1.0,7.8,22.3,1,1
41,1028.1,0.0,13.2,4.8,44.3,44.9,3,5
42,247.0,83.7,2.1,1.8,7.2,8.0,1,1
43,277.0,24.3,5.2,14.4,2.6,3.1,1,1
44,233.7,110.2,0.4,1.9,13.0,23.1,1,2
45,217.0,53.6,6.4,4.5,3.0,3.8,1,1
46,540.7,38.6,2.0,1.0,7.8,22.3,1,1
47,237.0,61.5,4.8,1.2,1.2,2.4,1,1
48,347.1,61.5,0.3,0.2,9.2,20.9,1,1
49,178.6,18.8,0.4,0.2,1.1,2.1,1,1
50,514.0,0.0,9.1,2.8,15.3,23.6,1,2
51,1976.0,0.0,54.8,57.7,17.5,20.7,2,2
52,260.4,44.0,17.0,23.6,39.0,55.9,2,4
53,300.4,3.9,7.0,10.9,17.1,22.1,2,2
54,343.8,34.3,0.2,0.1,2.7,3.1,1,1
55,243.7,37.9,0.1,0.2,10.4,31.1,1,1
56,208.6,103.0,1.0,0.9,3.1,3.2,1,1
57,363.8,46.5,1.7,1.7,16.3,21.8,2,2
58,460.6,33.3,0.7,0.6,15.7,109.3,2,2
59,195.3,61.5,1.7,2.1,1.5,6.3,1,1
60,217.0,70.8,3.8,2.1,4.0,5.0,1,1
61,223.6,70.1,4.6,2.8,6.0,7.4,1,1
62,507.4,26.1,3.6,4.1,6.8,10.3,1,1
63,250.3,35.4,0.4,0.2,1.2,2.4,1,1
64,220.3,78.0,1.0,0.9,4.5,5.0,1,1
65,217.0,52.9,7.9,3.2,5.1,5.5,1,1
66,403.9,17.9,3.4,1.1,5.8,13.8,1,1
67,283.7,177.4,13.0,31.5,23.4,26.6,2,2
68,186.9,17.4,0.7,0.6,1.4,3.7,1,1
69,1241.7,1.1,17.3,17.9,93.4,106.8,4,10
70,433.9,27.9,0.4,0.1,0.6,17.0,1,1
71,273.7,15.7,0.7,0.6,1.4,2.4,1,1
72,207.0,13.6,1.3,1.6,0.8,1.3,1,1
73,560.8,27.2,9.8,5.3,6.9,14.9,1,1
74,210.3,70.8,1.8,1.0,3.4,9.5,1,1
75,178.6,16.5,0.5,0.3,1.1,2.4,1,1
76,240.3,83.0,7.7,9.1,13.9,16.2,1,2
77,220.3,45.1,0.2,0.1,0.6,2.9,1,1
78,267.0,95.8,4.1,6.7,33.2,131.3,2,3
79,1268.4,191.7,35.6,39.1,107.0,132.5,4,10
80,370.5,135.9,40.4,38.2,24.1,93.3,2,3
81,220.3,186.0,3.6,18.6,22.1,63.2,2,2
82,220.3,56.5,1.4,0.9,2.1,3.2,1,1
83,220.3,144.5,3.4,5.9,13.6,21.7,1,2
84,210.3,70.8,1.8,1.0,3.4,9.5,1,1
85,317.1,14.5,5.9,3.1,3.1,4.8,1,1
86,220.3,37.6,39.4,25.0,6.6,11.7,1,1
87,230.3,131.6,1.2,3.7,15.2,25.9,1,2
88,247.0,73.7,2.7,8.1,3.1,6.9,1,1
89,494.0,63.7,3.6,5.7,8.5,21.1,1,1
90,170.2,12.7,0.0,0.0,0.5,1.9,1,1
91,687.6,181.7,94.6,22.9,45.7,122.6,3,5
92,208.6,104.4,0.8,1.5,2.0,3.0,1,1
93,380.5,73.7,2.2,2.2,11.7,21.7,1,1
94,217.0,70.8,1.6,0.8,4.3,4.7,1,1
95,237.0,108.7,0.6,2.3,15.8,31.5,2,2
96,847.8,94.4,2.8,3.8,69.6,77.6,4,9
97,270.4,44.0,0.3,0.3,2.8,3.7,1,1
98,327.1,29.0,4.4,3.9,8.3,9.2,1,1
99,212.0,36.1,5.4,1.0,4.3,4.6,1,1
100,207.0,90.8,1.3,2.2,3.6,4.3,1,1
101,208.6,61.5,8.6,0.9,4.9,5.8,1,1
102,273.7,57.9,0.6,1.0,1.8,3.6,1,1
103,253.7,60.8,0.4,0.7,2.2,3.9,1,1
104,7370.0,29.3,241.3,96.3,126.8,141.1,4,10
105,160.2,39.0,0.3,0.1,0.5,0.9,1,1
106,423.9,9.8,1.8,1.7,4.3,6.9,1,1
107,196.9,83.0,0.4,0.8,3.3,12.9,1,1
108,171.9,27.9,0.0,0.1,1.0,2.6,1,1
109,377.2,38.6,1.5,1.5,15.9,46.5,2,2
110,230.3,66.5,3.0,3.9,6.9,10.4,1,1
111,460.6,0.4,18.9,14.8,15.5,23.6,2,2
112,171.9,10.0,0.1,0.0,0.5,0.7,1,1
113,163.6,94.4,0.7,0.9,4.6,18.2,1,1
114,213.6,70.8,3.0,0.8,0.8,1.2,1,1
115,560.8,14.0,47.3,60.1,28.9,32.9,2,3
116,277.0,105.9,0.3,2.8,11.9,12.1,1,1
117,217.0,85.8,0.9,1.6,8.0,23.9,1,1
118,500.7,67.2,1.9,3.0,8.6,18.3,1,1
119,233.7,52.9,0.4,0.1,4.0,4.4,1,1
120,347.1,107.3,0.7,0.5,22.4,31.8,2,2
121,223.6,107.3,0.6,2.2,10.3,12.0,1,1
122,480.7,89.4,2.3,2.5,32.3,35.2,2,3
123,237.0,58.7,20.6,3.8,5.7,7.2,1,1
124,213.6,63.7,0.2,0.3,0.5,1.6,1,1
125,237.0,12.0,2.0,10.1,22.7,24.4,2,2
126,500.7,26.1,0.7,0.7,5.0,8.0,1,1
127,594.1,25.4,0.9,0.1,8.8,11.6,1,1
128,460.6,14.7,42.8,78.2,17.2,19.0,2,2
129,243.7,104.4,2.1,21.5,25.2,29.4,2,3
130,196.9,26.8,16.3,13.0,5.3,6.4,1,1
131,180.2,81.5,0.5,0.9,38.2,150.3,2,4
132,1442.0,277.5,31.9,6.1,88.4,94.5,4,10
133,183.6,27.2,0.1,0.1,1.9,5.4,1,1
134,640.9,28.3,0.8,0.2,51.3,51.5,3,6
135,534.1,0.4,9.3,8.4,5.9,7.9,1,1
136,200.3,50.1,2.5,2.2,5.9,16.7,1,1
137,300.4,12.5,0.5,0.1,5.2,5.5,1,1
138,277.0,38.6,14.1,15.3,13.2,30.7,1,2
139,277.0,39.7,5.4,1.4,1.2,4.1,1,1
140,203.6,65.8,1.8,1.1,1.9,2.4,1,1
141,223.6,63.7,1.9,0.9,4.6,8.9,1,1
142,427.3,147.3,126.1,169.8,46.1,101.1,3,5
143,220.3,104.4,1.6,1.4,5.8,6.7,1,1
144,287.1,25.8,35.0,23.4,4.5,6.3,1,1
145,210.3,54.4,0.3,0.6,2.5,4.0,1,1
146,247.0,14.8,0.7,0.3,1.2,3.2,1,1
147,191.9,20.7,0.1,0.1,2.3,6.0,1,1
148,186.9,20.7,0.5,0.4,1.8,5.5,1,1
149,186.9,62.2,0.3,0.3,3.3,16.1,1,1
150,217.0,65.8,0.8,0.6,1.2,1.3,1,1
151,223.6,46.5,17.8,4.8,5.5,7.9,1,1
152,253.7,160.2,30.9,79.2,59.0,211.6,3,8
153,300.4,33.6,0.7,0.6,8.9,10.1,1,1
154,243.7,91.6,3.1,4.4,14.1,15.4,1,2
155,190.3,38.3,0.2,0.6,4.1,8.5,1,1
156,343.8,19.0,0.6,0.2,1.6,3.1,1,1
