id,country,location_name,latitude,longitude,timezone
1,Afghanistan,Kabul,34.52,69.18,Asia/Kabul
2,Albania,Tirana,41.33,19.82,Europe/Tirane
3,Algeria,Algiers,36.76,3.05,Africa/Algiers
4,Andorra,Andorra La Vella,42.5,1.52,Europe/Andorra
5,Angola,Luanda,-8.84,13.23,Africa/Luanda
6,Antigua and Barbuda,Saint John's,17.12,-61.85,America/Antigua
7,Argentina,Buenos Aires,-34.59,-58.67,America/Argentina/Buenos_Aires
8,Armenia,Yerevan,40.18,44.51,Asia/Yerevan
9,Australia,Canberra,-35.28,149.22,Australia/Sydney
10,Austria,Vienna,48.2,16.37,Europe/Vienna
11,Azerbaijan,Baku,40.4,49.88,Asia/Baku
12,Bahamas,Nassau,25.08,-77.35,America/Nassau
13,Bahrain,Manama,26.24,50.58,Asia/Bahrain
14,Bangladesh,Dhaka,23.72,90.41,Asia/Dhaka
15,Barbados,Bridgetown,13.1,-59.62,America/Barbados
16,Belarus,Minsk,53.9,27.57,Europe/Minsk
17,Belgium,Brussels,50.83,4.33,Europe/Brussels
18,Belize,Belmopan,17.25,-88.77,America/Belize
19,Benin,Porto-Novo,6.48,2.62,Africa/Porto-Novo
20,Bhutan,Thimphu,27.48,89.6,Asia/Thimphu
21,Bolivia,Sucre,-19.04,-65.26,America/La_Paz
22,Bosnia and Herzegovina,Sarajevo,43.85,18.38,Europe/Sarajevo
23,Botswana,Gaborone,-24.65,25.91,Africa/Gaborone
24,Brazil,Bras,-2.08,-58.17,America/Manaus
25,Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,Asia/Brunei
26,Bulgaria,Sofia,42.68,23.32,Europe/Sofia
27,Burkina Faso,Ouagadougou,12.37,-1.52,Africa/Ouagadougou
28,Burundi,Bujumbura,-3.38,29.36,Africa/Bujumbura
29,Madagascar,Ivory,-24.37,46.45,Indian/Antananarivo
30,Cape Verde,Praia,14.93,-23.51,Atlantic/Cape_Verde
31,Cambodia,Phnom Penh,11.55,104.92,Asia/Phnom_Penh
32,Cameroon,Bafoussam,5.47,10.42,Africa/Douala
33,Canada,Ottawa,45.42,-75.7,America/Toronto
34,Central African Republic,Bangui,4.37,18.58,Africa/Bangui
35,Chad,N'djamena,12.11,15.05,Africa/Douala
36,Chile,Santiago,-33.45,-70.67,America/Santiago
37,China,Beijing,39.93,116.39,Asia/Shanghai
38,Bulgaria,Bogot,43.32,24.7,Europe/Sofia
39,Comoros,Moroni,-11.7,43.24,Indian/Comoro
40,Congo,Brazzaville,-4.26,15.28,Africa/Brazzaville
41,Costa Rica,San Juan,9.97,-84.08,America/Costa_Rica
42,Croatia,Zagreb,45.8,16.0,Europe/Zagreb
43,Cuba,Havana,23.13,-82.36,America/Havana
44,Cyprus,Nicosia,35.17,33.37,Asia/Nicosia
45,Czech Republic,Prague,50.08,14.47,Europe/Prague
46,Democratic Republic of Congo,Kinshasa,-4.3,15.3,Africa/Brazzaville
47,Denmark,Copenhagen,55.67,12.58,Europe/Copenhagen
48,Djibouti,Djibouti,11.6,43.15,Africa/Djibouti
49,Dominica,Roseau,15.3,-61.4,America/Dominica
50,Dominican Republic,Santo Domingo,18.47,-69.9,America/Santo_Domingo
51,Ecuador,Quito,-0.22,-78.5,America/Guayaquil
52,Egypt,Cairo,30.05,31.25,Africa/Cairo
53,El Salvador,San Salvador,13.71,-89.2,America/El_Salvador
54,Equatorial Guinea,Malabo,3.75,8.78,Africa/Malabo
55,Eritrea,Asmara,15.33,38.93,Africa/Asmara
56,Estonia,Tallinn,59.43,24.73,Europe/Tallinn
57,Swaziland,Mbabane,-26.32,31.13,Africa/Mbabane
58,Ethiopia,Addis Ababa,9.03,38.7,Africa/Addis_Ababa
59,Fiji Islands,Suva,-18.13,178.42,Pacific/Fiji
60,Finland,Helsinki,60.18,24.93,Europe/Helsinki
61,France,Paris,48.87,2.33,Europe/Paris
62,Gabon,Libreville,0.38,9.45,Africa/Libreville
63,Gambia,Banjul,13.45,-16.58,Africa/Banjul
64,Georgia,Tbilisi,41.73,44.79,Asia/Tbilisi
65,Germany,Berlin,52.52,13.4,Europe/Berlin
66,Ghana,Accra,5.55,-0.22,Africa/Accra
67,Greece,Athens,37.98,23.72,Europe/Athens
68,Grenada,Saint George's,12.05,-61.75,America/Grenada
69,Guatemala,Guatemala City,14.62,-90.53,America/Guatemala
